x1,x2,x3,x4,x5,x6,x7,label
0.141759037,0.214948819,6.05E-05,0.303493006,0.141364035,-0.983800962,-0.382663054,1
0.011161356,0.008204153,0.427493778,-0.168222697,0.196961591,-1.783903583,-0.919815597,1
-0.191608729,-0.359341919,1.438944904,-0.761817099,0.207551602,-0.665888201,-1.1863572,1
-0.346263878,-0.474200066,1.036903661,-0.687335672,0.318746714,-0.958527563,-1.227050574,1
0.444195774,0.329806966,1.371232694,0.066506648,0.803239702,-1.559768435,-0.474223146,1
-0.160677699,-0.267455401,1.019975609,-0.54740087,0.141364035,-0.823514403,-0.919815597,1
-0.054137485,-0.053053525,0.376709621,-0.147909581,0.001046394,-0.07595385,-0.384697722,1
-0.253470789,-0.351684709,0.850695086,-0.470662431,0.114889009,-0.665223111,-0.830290173,1
0.612598048,0.689695828,0.156644941,0.958026757,0.546431943,-1.104182155,0.954114298,1
0.547299207,0.528894422,0.719502681,0.576591571,0.65233205,-1.151403506,0.254188257,1
0.141759037,0.222606029,-0.059187726,0.192899372,-0.043961151,0.560536763,-0.191404194,1
-0.280965037,-0.30574145,0.364013582,-0.430036198,-0.152508761,-1.31900605,-0.828255504,1
-0.329079973,-0.412942387,0.719502681,-0.427779185,-0.157803766,0.190081934,-1.363373379,1
-0.366884565,-0.382313548,0.207429098,-0.337498667,-0.271646381,-0.375244107,-1.09072777,1
-0.380631689,-0.389970758,0.143948902,-0.330727629,-0.382841493,-0.510922356,-1.1863572,1
-0.088505296,-0.213854932,1.197720158,-0.626396323,0.196961591,0.322434737,-1.275882623,1
-0.294712162,-0.558429374,2.001802643,-1.150023324,0.329336725,1.02011358,-1.275882623,1
0.289540625,0.14603393,1.472801008,-0.229162047,0.676159574,-1.397486606,-0.736695412,1
-0.050700704,-0.267455401,1.874842251,-0.955920211,0.549079446,-1.285751577,-1.544458895,1
-0.731183361,-0.75751683,-0.101507857,-0.90852294,-0.554929166,0.267232312,-1.005271683,1
-0.236286883,-0.121968414,-0.53317319,0.066506648,-0.343128953,-0.417809832,-0.472188477,1
-0.253470789,-0.229169351,0.050844614,-0.244961137,-0.239876349,-0.673204185,-0.384697722,1
0.354839465,0.260892078,1.176560093,-0.02377387,0.657627055,-1.952104707,-0.645135319,1
-0.951137351,-1.017861964,-0.194612144,-1.195163583,-0.854096967,-1.519863067,-0.909642253,1
0.05583951,0.15369114,-0.224236236,0.362175342,-0.036018643,-1.26978943,-0.828255504,1
0.461379679,0.459979533,0.588310275,0.461483911,0.429941826,-1.860388871,-0.205646875,1
-0.628079928,-0.612029843,-0.291948445,-0.527087754,-0.615821727,-0.217617905,-1.1863572,1
-0.724309799,-0.680944731,-0.617813452,-0.527087754,-0.801146914,-0.795580645,-1.096831776,1
-0.253470789,-0.29042703,0.465581896,-0.197563866,-0.099558707,-0.62930828,-0.752972761,1
-0.480298341,-0.412942387,-0.448532929,-0.253989189,-0.512569123,-0.11253377,-0.632927307,1
-0.579964993,-0.566086584,-0.20307617,-0.393923991,-0.750844363,-1.892246656,-0.716348724,1
0.220805003,0.291520917,0.05930864,0.289950928,0.297566693,-0.191679416,-0.366385704,1
-0.260344351,-0.114311204,-0.76593391,0.199670411,-0.192221301,0.14618603,-0.221924224,1
-0.311896067,-0.29808424,0.076236693,-0.098255296,-0.287531397,-1.04831464,-0.805874148,1
0.069586634,0.092433462,0.29206936,0.188385346,0.183724078,-1.044989193,-0.097809432,1
0.437322212,0.337464176,1.22734425,0.181614307,0.599381997,-0.951211579,0.071068072,1
0.46481646,0.544208842,0.101628771,0.445684821,0.543784441,-0.583417108,0.241980245,1
0.767253197,0.62843815,1.561673283,0.459226898,1.123587524,-0.494960209,0.15448949,1
-0.016332893,-0.030081896,0.478277935,0.061992622,0.077823971,-0.391206254,-0.201577537,1
-0.19504551,-0.29808424,0.990351517,-0.522573728,0.104298998,1.985158386,-0.828255504,1
-0.449367311,-0.543114954,0.681414563,-0.633167362,-0.271646381,-0.74037822,-0.46811914,1
-0.463114436,-0.543114954,0.601006314,-0.626396323,-0.266351375,-0.965178458,-0.472188477,1
-0.579964993,-0.772831249,1.265432368,-1.107140078,-0.152508761,-0.824179492,-1.271813286,1
0.224241784,0.230263238,0.465581896,0.56079248,0.363754259,0.672271793,0.244014913,1
0.090207321,-0.014767476,1.168096067,-0.111797374,0.538489435,-0.380564822,-0.464049803,1
-0.360011003,-0.397627968,0.355549556,-0.569971,-0.274293883,-1.423425095,-0.909642253,1
0.176126848,0.15369114,0.639094432,0.163558204,0.355811751,-1.551787361,-0.561713901,1
0.048965948,0.000546944,0.73219872,-0.13211049,0.313451709,-0.493630031,-0.474223146,1
-0.019769674,-0.030081896,0.461349883,-0.188535814,0.085766479,-0.662562753,-0.604441945,1
0.004287794,0.084776252,-0.143827987,0.111646906,-0.001601109,-1.044989193,-0.116121451,1
-0.143493794,-0.121968414,0.173572994,-0.098255296,0.035463929,0.18276595,-0.537297877,1
0.320471654,0.268549288,0.901479243,0.102618855,0.464359361,1.258880696,-0.553575226,1
-0.122873107,0.038832993,-0.727845792,0.195156385,-0.385488995,0.276543564,-0.024561358,1
-0.177861605,-0.213854932,0.51213404,-0.281073344,-0.157803766,-0.24754693,-0.374524379,1
-0.112562764,0.031175783,-0.647437544,0.253838721,-0.385488995,-1.475967163,0.160593496,1
0.062713072,0.16134835,-0.220004223,0.165815217,-0.123386231,-1.175346727,0.062929397,1
-0.13318345,-0.160254463,0.45711787,-0.542886844,0.313451709,-0.597383986,-0.740764749,1
0.02490848,-0.098996784,1.252736328,-0.551914896,0.406114302,-1.70143249,-0.651239325,1
0.183000411,0.16134835,0.62216638,0.0755347,0.424646821,-1.131450823,-0.378593716,1
-0.940827008,-0.834088928,-1.345719701,-1.059742806,-0.599936711,-1.462000284,-1.808965829,1
-1.177964904,-1.301178728,-0.114203896,-1.40055176,-1.081782197,-0.665223111,-1.629914981,1
-1.243263744,-1.477294554,0.550222157,-1.639795131,-1.005004619,-0.951876668,-1.434586784,1
-0.854907481,-1.048490803,0.901479243,-1.24707488,-0.573461685,-0.319376592,-1.633984319,1
-0.559344306,-0.550772164,-0.126899935,-0.527087754,-0.49933161,0.303812232,-0.651239325,1
-0.710562675,-0.75751683,0.025452536,-0.827270474,-0.615821727,-1.678819448,-1.273847955,1
-0.676194864,-0.811117299,0.715270667,-1.104883065,-0.369603979,-0.896674243,-1.629914981,1
-0.174424823,-0.144940043,0.067772667,0.003310286,-0.18163129,-1.587702192,-0.525089864,1
-0.2878386,-0.206197722,-0.359660654,-0.044086986,-0.266351375,-0.98646132,-0.561713901,1
-0.16411448,-0.129625624,0.067772667,-0.134367503,-0.279588889,-1.487273684,-0.219889556,1
-0.72774658,-0.619687053,-1.066406838,-0.488718534,-0.997062111,-0.111203591,-0.693967368,1
0.956276157,1.08787074,-0.156524027,1.269494542,0.800592199,0.249939986,1.326458675,2
0.684770451,0.850497235,-0.36812468,0.833891046,0.596734494,0.648328572,0.954114298,2
0.829115257,0.896440494,0.22435715,0.788750787,0.887959787,0.557876406,0.779132788,2
1.46491976,1.302272615,1.570137309,1.185985063,1.777520683,-0.508261999,1.36511738,2
0.677896888,0.727981878,0.321693451,0.876774291,0.602029499,0.202053544,0.880866224,2
0.660712983,0.812211186,-0.304644484,0.673643127,0.474949371,0.81127549,0.787271463,2
0.849735943,1.034270271,-0.469692994,0.982853899,0.382286778,0.082337442,1.045674391,2
2.014804735,2.045021968,0.22435715,2.14521556,1.470410374,0.499348533,2.122014146,2
1.406494481,1.478388441,0.16934098,1.842775827,1.007097407,0.907048372,1.940928629,2
0.781000321,0.758610717,0.770286837,0.499853131,0.813829712,-0.560138977,0.687572695,2
0.578230237,0.59780931,0.478277935,0.556278455,0.551726949,1.218310239,0.960218304,2
1.330885297,1.248672146,1.130007949,0.851947149,1.584252988,1.079971631,0.958183636,2
1.839528899,1.784676834,0.778750864,1.481653758,1.602785507,0.979543123,1.584861603,2
1.62301169,1.669818687,0.29206936,1.705098038,1.359215262,-1.481952968,1.759843113,2
1.602391003,1.646847057,0.296301373,1.664471805,1.435992839,-0.490969673,1.580792265,2
1.176230147,1.172100048,0.67718255,1.228868309,1.038867439,-0.836151102,1.60520829,2
1.385873794,1.302272615,1.096151844,1.027994158,1.33803524,-1.364232133,1.426157442,2
1.420241605,1.608561008,-0.507781112,2.077505172,1.08916999,-0.006119456,2.217643576,2
2.176333447,2.029707549,1.180792106,2.131673483,2.050213458,1.383252425,1.674387026,2
2.073230014,1.907192191,1.358536655,1.854060892,2.047565955,0.875124078,1.857507212,2
1.805161088,1.861248933,0.152412928,2.149729586,1.393632796,-1.160714759,2.117944808,2
1.344632421,1.256329356,1.159632041,1.226611296,1.422755326,-0.385885538,1.312215994,2
1.361816327,1.325244244,0.829535021,1.45231259,1.150062551,-0.308070071,1.312215994,2
1.286207143,1.141471208,1.506657113,0.92191455,1.592195496,1.530237196,0.954114298,2
1.207161177,1.50136007,-1.091798917,2.341575686,0.599381997,0.819921653,2.11591014,2
0.695080794,0.835182815,-0.262324353,1.152129869,0.541136938,-0.002794009,1.137234483,2
1.533655382,1.554960539,0.44442183,1.608046482,1.459820363,-0.148448601,1.688629707,2
1.420241605,1.53964612,-0.097275843,1.851803879,0.776764675,-1.035012851,2.126083483,2
1.141862337,1.302272615,-0.308876497,1.450055577,0.670864568,-0.563464424,1.759843113,2
1.330885297,1.363530293,0.423261765,1.332690904,1.126235027,-1.005748915,1.401741417,2
0.536988864,0.528894422,0.660254497,0.201927424,0.705282103,0.343717599,0.427135099,2
1.080000277,0.995984222,1.193488145,0.590133649,1.152710054,-1.08555965,0.872727549,2
1.585207098,1.486045651,1.163864054,1.093447533,1.676915582,0.40424074,1.22269057,2
1.488977227,1.585589379,0.029684549,1.671242844,1.118292519,-0.228259336,1.670317689,2
1.409931262,1.424787972,0.503670014,1.398144279,1.314207716,-0.220943352,1.505509522,2
1.368689889,1.325244244,0.876087164,0.92191455,1.396280299,-0.762991262,0.958183636,2
1.375563451,1.233357726,1.464336982,1.181471037,1.449230352,-0.570115318,1.611312296,2
0.956276157,0.995984222,0.380941634,0.912886498,0.832362231,0.031125553,1.059917072,2
1.750172591,1.807648464,0.177805007,2.361888802,1.335387738,-0.298093729,2.323446349,2
1.272460018,1.271643776,0.656022484,1.18372805,1.09976,-1.305039172,0.988703666,2
1.238092207,1.195071677,0.893015217,1.079905455,1.351272754,-0.97448971,0.785236794,2
1.557712849,1.654504267,0.025452536,1.522279991,1.409517812,-0.014765619,1.133165146,2
1.471793322,1.340558664,1.375464708,1.251438438,1.703390608,-1.058290982,1.049743728,2
1.475230103,1.570274959,0.050844614,1.422971421,1.266552668,1.983163118,1.312215994,2
2.104161044,2.060336388,0.630630406,2.109103353,1.939018346,0.649658751,1.847333868,2
1.447735854,1.447759602,0.609470341,1.777322452,1.21889762,-0.965843547,1.536029553,2
1.413368043,1.256329356,1.553209257,0.953512731,1.690153095,0.421533066,0.69571137,2
1.478666884,1.447759602,0.761822811,1.39137324,1.473057876,-0.409828759,1.580792265,2
1.389310575,1.279300985,1.261200354,1.350747007,1.351272754,-0.040704108,1.135199815,2
1.78110362,1.792334044,0.427493778,1.951112448,1.584252988,-0.423795637,1.855472543,2
1.853276023,1.799991254,0.791446903,1.549364146,1.862240768,1.46372825,1.586896271,2
1.131551993,1.195071677,0.262445268,0.971568835,0.805887204,-0.054005898,1.226759907,2
0.454506117,0.62843815,-0.516245138,0.301235993,0.339926735,0.389608772,0.60008194,2
1.231218645,1.08021353,1.553209257,0.793264813,1.356567759,-0.476337705,1.011085022,2
0.392644057,0.253234868,1.498193087,-0.599312168,0.856189755,-0.242226215,-0.537297877,2
1.34119564,1.241014936,1.223112237,1.088933507,1.61602302,0.324430005,1.188101201,2
1.306827829,1.417130762,-0.0507237,1.481653758,0.887959787,0.459443165,1.411914761,2
1.076563496,0.988327012,1.197720158,0.7910078,1.134177535,-0.959857742,1.039570385,2
1.825781775,1.891877772,0.105860784,1.996252707,1.361862764,-1.190643784,1.580792265,2
0.928781909,0.842840025,1.189256132,0.366689368,1.142120043,1.107905389,0.514625854,2
1.186540491,1.018955851,1.684401662,0.7910078,1.314207716,-0.574105855,1.12706114,2
1.406494481,1.348215874,0.981887491,1.163414934,1.499532903,-0.526884504,1.100610446,2
